S.N	Product Code	BRAND	Product Name	KG per Carton	Price per Carton	New Price
1	100117	LOVE BUDS	Love BUDS Arancini Bolognese Balls 30g, 1kg x 4 (96pp)	4	$108.00	$108
2	MFSB1001	LOVE BUDS	Love BUDS Burger, Beef, Plant-Based, 125g x 36 (128pp)	4.5	$87.60	$88
3	MFSB1003	LOVE BUDS	Love BUDS Burger, Beef, Plant-Based, 90g x 48 (128pp)	4.3	$94.60	$95
4	MFSB2001	LOVE BUDS	Love BUDS Mince, Beef, Plant-Based, 500g x 9 (128pp)	4.5	$63.00	$63
5	MFSB5001	LOVE BUDS	Love BUDS Meatballs, Beef, Plant-Based, 20g x 160 (128pp)	3.2	$58.00	$58
6	MFSB5002	LOVE BUDS	Love BUDS Sausages, Beef, Italian, Plant-Based, 600g x 8 (128pp)	4.8	$86.00	$86
7	MFSC1001	LOVE BUDS	Love BUDS Schnitzel Burger, Chicken, Plant-Based, 113g x 30 (128pp)	3.4	$71.40	$71
8	MFSC4001	LOVE BUDS	Love BUDS Schnitzel, Chicken, Plant-Based, 220g x 16 (128pp)	3.5	$77.00	$77
9	MFSC4002	LOVE BUDS	Love BUDS Southern Burger, Chicken, Plant-Based, 113g x 24 (128pp)	2.7	$60.00	$60
10	MFSC4003	LOVE BUDS	Love BUDS Drumstick 1kg x 4 (80pp)	4	$60.00	$75
11	MFSA3001	LOVE BUDS	Vegan heese poppers	4	$94.00	$94
12	MFSV3001	LOVE BUDS	Vegan Jalapeno Cheese Poppers	4	$94.00	$94
13	MFSF5001	LOVE BUDS	Falafel	4	$108.00	$108
14	MFSP5007	LOVE BUDS	Vegan Chorizo Bites	4	$86.00	$86
15	MFSC4004	LOVE BUDS	Love Buds Popcorn, Chicken, Plant-Based 4 x 1kg	4	$74.20	$87
16	MFCF5009	LOVE BUDS	Love BUDS Plant-Based Beef-Style Smokey Sausage- 4.8kg	4.8	$86.00	$86
17	MFSC2003	LOVE BUDS	Love BUDS Pieces, Chicken Flavoured 1kg x 4	4	$69.00	$79
18	MFSL1001	LOVE BUDS	Plant-based Patty (Lamb Flavoured) - 1kg x 4	4		$88
19	MFSL2001	LOVE BUDS	Plant-based Mince (Lamb Flavoured) - 1kg x 4	4		$88
20	MFSC7002-AF	LOVE BUDS	Plant-based Chx Pieces Allium-Free - 1kg x 4	4		$79
18	VFRR1025CH	vEEF	vEEF® Plant Based Premium Beef Burger- 240g*5	1.2	25	$25
19	MREB2001CH2	vEEF	vEEF® Plant Based Beef Mince- 300g*4	1.2	25	$25
20	MREB5001CH	vEEF	vEEF® Plant Based Classic Sausages- 300g*4	1.2	25	$25
21	MREP5001CH	vEEF	vEEF® Plant Based Chorizo Sausages- 300g*4	1.2	25	$25
